artifact__title,artifact__title_english,artifact__summary,artifact__identifier,artifact__type,artifact__type_label,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__img,artifact__doi,artifact__publication_place,artifact__publisher,artifact__rights,artifact__rights_holder,artifact__rights_uri,artifact__tags,artifact__copyright,artifact__props__Example_Label,artifact__hidden_props__Example_Label,artifact__related_urls,artifact__isbn_online,artifact__isbn_print,artifact__issn_online,artifact__issn_print,artifact__series,artifact__people,artifact__people__author,artifact__people__editor,artifact__access_type,artifact__access_orgs,artifact__search_props__Example_Label,artifact__country,artifact__high_res_thumbnail,artifact__royalty_to_id,artifact__readable,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash
Use of Educational Technology for Instruction in Public Schools: 2019–20,,This report is based on the public school Fast Response Survey “Use of Educational Technology for Instruction” developed with the U.S. Department of Education's Office of Educational Technology. This report shows national data from a sample survey of public schools about their use of technology for teaching and learning during the 2019–20 school year. Questions were asked about conditions before the coronavirus pandemic started. This report presents data about public school technology resources and ways that schools use these resources to teach.,,report,,2021-11-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021017,,,,NCES,,,,Access to Computers|Computer and Internet Use|Ed Tech Equity|Education Technology|Information Technology|Internet|student access to|Online Learning|Technology Use  in Education,,,,,,,,,,,Cindy Gray|Laurie Lewis,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021017.pdf,,,,,,,,,
Study of Enhanced College Advising in Upward Bound:  Impacts on Where and How long Students Attend College,,"Decisions about whether and where to go to college can make a difference in students' later success. However, many students from low-income families ""undermatch""—they do not enroll at all or not in the most selective college they likely could attend. This report examined whether promising advising strategies, bundled in a package called Find the Fit, could improve college choices and persistence for rising high school seniors in the federal college access program Upward Bound.",,report,,2021-11-16,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=NCEE2022002,,,,NCEE,,,,Beginning Students in Postsecondary Education|Persistence to Completion of Students in Higher Education|Students|transition to college,,,,,,,,,,,Tamara Linkow|Amanda Parsad: Abt Associates|Alina Martinez|Mathematica|Hannah Miller: Civilytics Consulting,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/pubs/2022002/pdf/2022002.pdf,,,,,,,,,
Revenues and Expenditures for Public Elementary and Secondary School Districts: FY 19,,"This report presents data on public elementary and secondary education revenues and expenditures at the local education agency (LEA) or school district level for fiscal year (FY) 2019. Specifically, this report includes finance data on the following topics:",,report,,2021-11-17,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=2021304,,,,NCES,,,,Educational Equity|Elementary Education|Expenditures|elementary and secondary schools|Finance|elementary and secondary schools|High School|Poverty Status|Revenues|elementary/secondary schools|States,,,,,,,,,,,"Cornman, S.Q.|Ampadu, O.|Hanak, K.|Howell, M.|Wheeler|S. (2021)",,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://nces.ed.gov/pubs2021/2021304.pdf,,,,,,,,,
Year Up Intervention Report,,"is an intervention that provides six months of occupational and technical training in the information technology and financial service sectors followed by six-month internships, together with other supports that ensure students have strong connections to employment. Based on the research, the WWC found that Year Up has positive effects on short-term earnings and no discernable effects on short-term employment, medium-term earnings, industry-recognized credential, certificate, or license completion, or medium-term employment.",,report,,2021-11-18,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2022002,,,,WWC,,,,Career/Technical Education|Occupational Programs|Students|transition from college to work,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_YearUp_IR-report.pdf,,,,,,,,,
Intervention Report,,"provides comprehensive support services to help students complete occupational training programs at local community colleges and professional training institutes, pass certification exams, and obtain well-paying jobs in targeted sectors of the local economy. Based on the research, the WWC found that Project QUEST has positive effects on industry-recognized credential, certificate, or license completion; potentially positive effects on credit accumulation; no discernable effects on short-term employment, short-term earnings, medium-term employment, medium-term earnings, and long-term earnings; and potentially negative effects on postsecondary degree attainment.",,report,,2021-11-18,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2022001,,,,WWC,,,,Career/Technical Education|Occupational Programs,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_ProjectQUEST_IR-report.pdf,,,,,,,,,
Community Math Night Facilitators' Toolkit,,"The Community Math Night Facilitators’ Toolkit is a detailed resource for elementary school educators to plan and implement a Community Math Night event. Community Math Nights use interactive math activities to engage families in building positive math attitudes, facilitate their participation in children’s learning in grades K–5, and build a community of educators, students, families, and other caring adults. This toolkit includes planning and organizational resources, research findings on community engagement and math instruction strategies, and step-by-step instructions and printable materials for the interactive activities. It also includes a workbook that can be used as a professional learning resource on key math-learning research findings and how to apply them in practice.",,toolkit-how-to,,2021-11-22,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2022120,,,,REL,,,,Elementary Education|Mathematics|Software Tools,,,,,,,,,,,Kerry Friedman|Laura Kassner|Carmen Araoz|Kathleen Dempsey,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/appalachia/pdf/REL_2022120.pdf,,,,,,,,,
Impacts of Home Visits on Students in District of Columbia Public Schools,,"This study examined the impacts of structured relationship-building teacher home visits conducted in grades 1–5 as part of a family engagement program in the District of Columbia Public Schools. Using a matched comparison group research design, the study measured the impacts of the home visits on student disciplinary incidents and attendance. The study found that a home visit before the start of the school year reduced the likelihood of a student having a disciplinary incident in that school year. During the school year following a home visit, 9.27 percent of visited students had a disciplinary incident compared with 12.22 percent of nonvisited comparison students. The study also found that, on average, a home visit slightly improved student attendance. The attendance rate averaged 95.28 percent for visited students and 94.93 percent for nonvisited comparison students.",,report,,2021-11-23,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2022128,,,,REL,,,,Impact Evaluation|Public Schools|School Districts|Schools|in urban locations,,,,,,,,,,,Allison McKie|Jeffrey Terziev|Brian Gill,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.govv/ncee/edlabs/regions/midatlantic/pdf/REL_2022128.pdf,,,,,,,,,
Education and Career Planning in High School: A National Study of School and Student Characteristics and College-Going Behaviors,,"A large proportion of high schools across the country have adopted education and career planning requirements intended to help students prepare for postsecondary education and to facilitate successful transitions to the labor market. This study used student and counselor survey responses from a nationally representative longitudinal dataset to examine the relationships between students’ participation in three core elements of education and career planning during high school and their application, coursetaking, and enrollment behaviors associated with the transition to college. Students who developed an education or career plan upon first entering high school in grade 9 were no more or less likely to submit the Free Application for Federal Student Aid, complete a college preparatory curriculum, apply to college, or enroll in college than students who did not develop a plan. However, for students who received support from a teacher or a parent to develop their plan and for students who met with an adult in school to review the plan at least once a year, developing a plan was significantly associated with several college-going behaviors.",,report,,2021-11-29,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2022127,,,,REL,,,,College Preparation|High-School Graduates|expectations for high school graduates|Higher Education|Students|transition from college to work|transition to college|Transition To College,,,,,,,,,,,Thomas Torre Gibney|Mary Rauner,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/west/pdf/REL_2022127.pdf,,,,,,,,,
Pathway to Academic Success Project Intervention Report,,This What Works Clearinghouse (WWC) intervention report summarizes the research on the,,report,,2021-11-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=WWC2022004,,,,WWC,,,,English Language Learners (ELL)|Teachers|Training,,,,,,,,,,,WWC,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/wwc/Docs/InterventionReports/WWC_IR_Pathway_Project-report.pdf,,,,,,,,,
"Additional Certification for Teachers in New York State: Teachers’ Experience and Employment Location, Certification Pathways, and Certification Areas",,"New York State is experiencing teacher shortages in specific subject areas. One way to address these shortages is for certified teachers to earn additional certificates qualifying them to fill positions in shortage areas. This study explored patterns in how experienced teachers (those with at least one year of teaching experience in New York State public schools) in 2015/16 earned additional certificates between October 2015 and October 2017. These patterns included which teachers earned additional certificates, their certification pathways, and their additional certification areas. The study found that about 5 percent of teachers in New York State in 2015/16 earned additional certificates during the two-year period. A larger proportion of teachers who earned additional certificates during that period were employed in New York City district schools and charter schools than in other types of districts or schools. Teachers who earned additional certificates were less experienced than those who did not earn additional certificates. More teachers earned additional certificates in shortage areas than in nonshortage areas, except for administration, a nonteaching certification area. Special education was the most common shortage certification area in which experienced teachers earned additional certificates. More than half of teachers who earned additional certificates did so through the traditional in-state pathway, while about a third did so through the individual evaluation pathway.",,report,,2021-11-30,,,https://ies.ed.gov/pubsearch/pubsinfo.asp?pubid=REL2022110,,,,REL,,,,States|Teachers|education/preparation,,,,,,,,,,,Camille Lemieux|Jacqueline Zweig|Karen Shakman|Rebecca Schillaci|Laura O’Dwyer,,,,,,,,,8e194549-80b0-4441-80e3-15223ef02992,,,,,https://ies.ed.gov/ncee/edlabs/regions/northeast/pdf/REL_2022110.pdf,,,,,,,,,
